OldOverall,NewOverall
1600,336
1580,334
1560,333
1540,331
1520,330
1500,328
1480,327
1460,325
1440,324
1420,322
1400,321
1380,319
1360,318
1340,316
1320,316
1300,314
1280,313
1260,312
1240,310
1220,309
1200,308
1180,307
1160,305
1140,305
1120,303
1100,302
1080,301
1060,300
1040,298
1020,298
1000,297
980,295
960,295
940,293
920,293
900,291
880,290
860,290
840,288
820,287
800,286
780,285
760,284
740,282
720,281
700,281
680,279
660,278
640,276
620,275
600,274
580,272
560,270
540,268
520,267
500,265
480,264
460,262
440,262
420,261
400,261
